SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16,,,,,,,,,,,,,,,,,
100000001,TRACY                      ,CA,95304 ,SANTA MONICA               ,CA,90402 ,125, 800 , 115.94 , Non-Retail , Liftgate Needed ,$410.07,$0.00,$385.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$240.95,$682.33,$0.00,$358.88,$0.00,$205.56,,,,,,,,,,,,,,,,,
100000002,TRACY                      ,CA,95304 ,GLENCOE                    ,IL,60022 ,125, 480 , 72.73 , Non-Retail , Non-Liftgate ,$477.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$481.20,$768.78,$0.00,$423.33,$0.00,$415.40,,,,,,,,,,,,,,,,,
100000003,DRESDEN                    ,TN,38225 ,NAPERVILLE                 ,IL,60540 ,70, 410 , 55.41 , Non-Retail , Liftgate Needed ,$275.90,$258.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$364.30,$0.00,$265.29,$0.00,$128.84,,,,,,,,,,,,,,,,,
100000004,DRESDEN                    ,TN,38225 ,CORTE MADERA               ,CA,94925 ,70, 357 , 34.00 , Non-Retail , Liftgate Needed ,$324.75,"$2,926.34",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$443.65,$0.00,$287.09,$0.00,$285.44,,,,,,,,,,,,,,,,,
100000005,DRESDEN                    ,TN,38225 ,HOUSTON                    ,TX,77027 ,70, 476 , 41.75 , Non-Retail , Non-Liftgate ,$275.90,$210.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$297.51,$0.00,$293.24,$0.00,$142.79,,,,,,,,,,,,,,,,,
100000006,DRESDEN                    ,TN,38225 ,LIVERMORE                  ,CA,94551 ,70, 433 , 47.58 , Non-Retail , Liftgate Needed ,$324.75,"$3,502.95",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$626.91,$0.00,$356.36,$0.00,$261.77,,,,,,,,,,,,,,,,,
100000007,DRESDEN                    ,TN,38225 ,HINGHAM                    ,MA,02043 ,70, 857 , 61.21 , Non-Retail , Non-Liftgate ,$310.43,"$3,434.53",$279.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$654.30,$841.51,$356.53,$0.00,$214.89,,,,,,,,,,,,,,,,,
100000008,DRESDEN                    ,TN,38225 ,WHITE PLAINS               ,NY,10601 ,70, 62 , 9.25 , Non-Retail , Non-Liftgate ,$279.71,$680.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$226.24,$831.34,$244.91,$0.00,$148.54,,,,,,,,,,,,,,,,,
100000009,DRESDEN                    ,TN,38225 ,SHORT HILLS                ,NJ,07078 ,70, 31 , 5.25 , Non-Retail , Non-Liftgate ,$365.92,$659.06,$445.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$226.24,$636.43,$330.86,$0.00,$145.44,,,,,,,,,,,,,,,,,
100000010,DRESDEN                    ,TN,38225 ,ROMEOVILLE                 ,IL,60446 ,70, 814 , 95.76 , Non-Retail , Non-Liftgate ,$275.90,$389.57,$223.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$549.59,$0.00,$262.02,$0.00,$167.59,,,,,,,,,,,,,,,,,
