SHIPMENT ID,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16
100000001,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2
100000002,5,0,0,0,0,0,0,0,0,0,6,4,0,5,0,6
100000003,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1
100000004,5,4,0,0,0,0,0,0,0,0,0,4,0,5,0,6
100000005,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2
100000006,4,4,0,0,0,0,0,0,0,0,0,4,0,5,0,6
100000007,4,3,2,0,0,0,0,0,0,0,0,2,4,3,0,3
100000008,3,5,0,0,0,0,0,0,0,0,0,2,4,3,0,4
100000009,3,3,2,0,0,0,0,0,0,0,0,2,4,3,0,3
100000010,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,2
100000011,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2
100000012,4,3,0,0,0,0,0,0,0,0,0,3,5,4,0,4
100000013,3,3,2,0,0,0,0,0,0,0,0,2,4,3,0,3
100000014,2,2,2,0,0,0,0,0,0,0,0,2,0,3,0,2
100000015,4,4,4,0,0,0,0,0,0,0,0,3,0,4,0,5
100000016,4,2,3,0,0,0,0,0,0,0,0,2,0,2,0,2
100000017,4,2,2,0,0,0,0,0,0,0,0,2,0,2,5,2
100000018,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0
100000019,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
100000020,2,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0
100000021,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000022,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000023,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0
100000024,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000025,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0
100000026,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
100000027,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
100000028,2,2,2,0,0,0,0,0,0,0,0,2,3,2,0,2
100000029,5,5,4,6,0,0,0,0,0,0,0,4,0,5,0,6
100000030,3,2,0,0,0,0,0,0,1,0,0,2,0,2,4,3
100000031,5,0,5,0,0,0,0,0,0,0,7,5,4,5,0,6
100000032,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
100000033,3,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
100000034,3,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
100000035,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000036,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000037,5,0,5,0,0,0,0,0,0,0,3,4,0,5,0,6
100000038,3,0,0,0,0,0,0,0,0,0,3,2,0,2,0,2
100000039,5,0,5,0,0,0,0,0,0,0,7,5,4,6,0,0
100000040,5,0,6,0,0,0,0,0,0,0,7,6,4,7,0,0
100000041,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2
100000042,3,0,1,0,0,0,0,0,0,0,3,2,0,2,0,2
100000043,5,0,5,0,0,0,0,0,0,0,7,5,4,6,0,0
100000044,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000045,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
100000046,3,2,3,0,0,0,0,0,0,0,0,2,0,2,0,3
100000047,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
100000048,4,4,4,0,0,0,0,0,0,0,0,4,0,5,0,6
100000049,3,5,0,0,0,0,0,0,0,0,0,2,4,3,0,4
100000050,3,3,2,0,0,0,0,0,0,0,0,2,4,3,0,3
100000051,3,5,0,0,0,0,0,0,0,0,0,3,4,3,0,4
100000052,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000053,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000054,3,4,3,0,0,0,0,0,0,0,0,3,0,3,0,3
100000055,3,3,3,0,0,0,0,0,0,0,0,2,4,3,0,5
100000056,4,2,3,0,0,0,0,0,0,0,0,2,0,2,0,2
100000057,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
100000058,5,0,5,0,0,0,0,0,0,0,0,5,4,6,0,6
100000059,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000060,3,0,2,0,0,0,4,0,2,0,0,2,2,2,0,3
100000061,2,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1
100000062,2,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1
100000063,5,0,4,0,0,0,0,0,0,0,6,0,0,4,0,5
100000064,2,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1
100000065,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0
100000066,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
100000067,4,2,2,4,0,0,0,0,0,0,0,2,0,2,0,3
100000068,3,2,2,2,0,0,0,0,2,0,0,2,0,2,0,3
100000069,5,0,0,0,0,0,0,0,0,0,6,4,0,4,0,5
100000070,3,2,2,0,0,0,0,0,0,0,0,2,0,2,5,2
100000071,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000072,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000073,3,0,2,0,0,0,4,0,1,0,0,2,2,2,0,3
100000074,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
100000075,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0
100000076,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000077,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000078,2,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1
100000079,3,0,2,0,0,0,4,0,1,0,0,2,2,2,0,3
100000080,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
100000081,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
100000082,6,0,5,0,0,0,0,0,0,0,7,5,0,6,0,7
100000083,2,0,1,2,0,0,0,0,1,1,0,1,0,0,0,3
100000084,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000085,5,0,5,0,0,0,0,0,0,0,7,5,0,5,0,0
100000086,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,5
100000087,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000088,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
100000089,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000090,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000091,5,5,4,0,0,0,0,0,0,0,0,4,0,5,0,6
100000092,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
100000093,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
100000094,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000095,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
100000096,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,5
100000097,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
100000098,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000099,3,0,2,0,0,0,4,0,3,0,0,2,0,2,0,3
100000100,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000101,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0
100000102,3,3,3,0,0,0,0,0,0,0,0,2,0,3,0,5
100000103,3,0,2,0,0,0,4,0,1,0,0,2,0,2,0,3
100000104,5,6,4,5,0,0,0,0,0,0,0,4,0,5,0,6
100000105,4,5,4,5,0,0,0,0,0,0,0,3,0,4,0,6
100000106,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000107,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000108,5,0,4,6,0,0,0,0,0,0,0,4,0,5,0,6
100000109,5,0,4,6,0,0,0,0,0,0,0,4,0,5,0,6
100000110,5,5,4,6,0,0,0,0,0,0,0,4,0,5,0,6
100000111,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
100000112,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2
100000113,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
100000114,2,2,2,0,0,0,4,0,1,0,0,2,0,2,0,0
100000115,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000116,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
100000117,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,5
100000118,3,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
100000119,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,5
100000120,6,0,5,0,0,0,0,0,0,0,7,5,0,6,0,7
100000121,5,0,5,0,0,0,0,0,0,0,3,5,0,5,0,0
100000122,3,0,0,0,0,0,0,1,0,0,1,2,0,1,0,2
100000123,5,0,8,0,0,0,0,0,0,0,7,5,0,6,0,7
100000124,4,5,2,5,0,0,0,0,1,0,0,2,0,2,0,3
100000125,5,0,5,0,0,0,0,0,0,0,3,4,0,5,0,6
100000126,5,0,6,0,0,0,0,0,0,0,7,6,0,7,0,0
100000127,5,0,8,0,0,0,0,0,0,0,7,5,0,6,0,7
100000128,5,0,4,0,0,0,0,0,0,0,6,4,0,5,0,6
100000129,5,0,4,0,0,0,0,0,0,0,6,4,0,5,0,6
100000130,5,0,5,0,0,0,0,0,0,0,7,5,0,6,0,0
100000131,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
100000132,5,5,4,6,0,0,0,0,0,0,0,4,0,5,0,6
100000133,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000134,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
100000135,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000136,5,5,5,0,0,0,0,0,0,0,0,5,0,6,0,0
100000137,3,2,3,0,0,0,0,0,0,0,0,2,0,2,0,3
100000138,4,4,4,0,0,0,0,0,0,0,0,3,0,4,0,5
100000139,4,4,4,0,0,0,0,0,0,0,0,4,0,5,0,6
100000140,3,5,2,0,0,0,0,0,0,0,0,2,0,4,0,3
100000141,4,4,4,0,0,0,0,0,0,0,0,4,0,5,0,6
100000142,4,4,0,0,0,0,0,0,0,0,0,4,0,5,0,6
100000143,4,4,4,0,0,0,0,0,0,0,0,3,0,4,0,5
100000144,4,3,4,0,0,0,0,0,0,0,0,4,0,4,0,5
100000145,3,5,5,0,0,0,0,0,0,0,0,2,0,3,0,4
100000146,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000147,3,5,2,0,0,0,0,0,0,0,0,2,0,4,0,3
100000148,3,3,2,0,0,0,0,0,0,0,0,2,0,3,0,3
100000149,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000150,3,5,5,0,0,0,0,0,0,0,0,2,0,3,0,4
100000151,4,3,2,0,0,0,0,0,0,0,0,3,0,3,0,3
100000152,5,4,4,0,0,0,0,0,0,0,0,4,0,5,0,6
100000153,4,4,4,0,0,0,0,0,0,0,0,4,0,4,0,5
100000154,4,4,4,0,0,0,0,0,0,0,0,4,0,4,0,6
100000155,4,4,4,0,0,0,0,0,0,0,0,3,0,4,0,5
100000156,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000157,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000158,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,1
100000159,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000160,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,2
100000161,3,3,2,0,0,0,0,0,0,0,0,2,0,3,0,3
100000162,3,3,2,0,0,0,0,0,0,0,0,2,0,3,0,3
100000163,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000164,2,2,2,0,0,0,0,0,0,0,0,2,0,3,0,2
100000165,5,5,4,0,0,0,0,0,0,0,0,5,0,4,0,5
100000166,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000167,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
100000168,5,0,4,0,0,0,0,0,0,0,0,4,0,4,0,5
100000169,2,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1
100000170,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,5
100000171,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
100000172,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
100000173,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000174,5,0,4,0,0,0,0,0,0,0,0,3,0,4,0,0
100000175,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
100000176,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,5
100000177,2,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
100000178,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000179,3,0,2,2,0,0,0,0,0,0,0,2,2,2,0,3
100000180,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0
100000181,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1
100000182,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1
100000183,2,2,2,0,0,0,0,0,3,0,0,2,2,2,0,0
100000184,2,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1
100000185,3,0,2,0,0,0,4,0,1,0,0,2,2,2,0,3
100000186,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000187,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000188,3,0,2,0,0,0,4,0,1,0,0,2,2,2,0,3
100000189,3,0,2,0,0,0,4,0,2,0,0,2,2,2,0,4
100000190,2,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1
100000191,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000192,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
100000193,3,3,4,0,0,0,0,0,0,0,0,3,0,3,7,4
100000194,3,2,0,0,0,0,0,0,1,0,0,2,0,2,4,3
100000195,4,4,3,0,0,0,0,0,0,0,0,3,4,3,5,4
100000196,5,0,5,0,0,0,0,0,0,0,0,5,4,5,0,0
100000197,3,0,2,0,0,0,4,0,1,0,0,2,2,2,0,2
100000198,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000199,5,2,0,0,0,0,0,0,0,0,0,2,3,2,0,0
100000200,6,5,4,0,0,0,0,0,0,0,0,5,0,4,0,0
100000201,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1
100000202,2,2,0,0,0,0,4,0,1,0,0,2,2,2,0,0
100000203,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,3
100000204,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,3
100000205,5,0,0,0,0,0,0,0,0,0,7,5,4,5,0,0
100000206,5,0,0,0,0,0,0,0,0,0,0,5,4,6,0,6
100000207,3,2,0,0,0,0,0,0,1,0,0,2,0,2,4,3
100000208,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2
100000209,5,0,5,0,0,0,0,0,0,0,7,5,4,5,0,6
100000210,5,0,4,0,0,0,0,0,0,0,6,4,0,5,0,6
100000211,5,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0
100000212,3,0,0,0,0,0,4,0,2,0,0,2,2,3,0,3
100000213,3,0,2,0,0,0,4,0,2,0,0,2,2,3,0,3
100000214,2,2,2,0,0,0,4,0,1,0,0,2,2,2,0,0
100000215,2,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0
100000216,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
100000217,3,0,2,0,0,0,5,0,4,0,0,2,2,2,0,0
100000218,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
100000219,5,0,5,0,0,0,0,0,0,0,0,5,4,6,0,7
100000220,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000221,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000222,2,1,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000223,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000224,5,0,5,0,0,0,0,0,0,0,7,5,4,5,0,0
100000225,5,0,4,0,0,0,0,0,0,0,6,3,0,4,0,0
100000226,3,2,2,0,0,0,0,0,0,0,0,3,0,2,0,3
100000227,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0
100000228,2,2,0,0,0,0,0,0,0,0,0,2,3,2,0,2
100000229,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
100000230,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000231,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
100000232,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000233,3,0,2,0,0,0,4,0,3,0,0,2,2,2,0,3
100000234,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
100000235,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,3
100000236,3,0,0,0,0,0,4,0,2,0,0,2,2,2,0,3
100000237,3,0,2,0,0,0,4,0,2,0,0,2,2,2,0,3
100000238,3,0,2,0,0,0,4,0,2,0,0,2,2,2,0,3
100000239,3,0,0,0,0,0,4,0,1,0,0,2,2,2,0,3
100000240,3,0,3,0,0,0,4,0,0,0,0,3,3,3,0,4
100000241,2,0,0,0,0,0,6,0,1,0,0,1,2,2,0,2
100000242,2,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
100000243,2,1,2,0,0,0,0,0,0,0,0,2,0,2,0,2
100000244,2,1,2,0,0,0,0,0,0,0,0,2,0,2,0,2
